t,x0,x1,x2,x3,x4,x5
85,1.0237879,1.0698729,1.5124029,0.5542519,1.0673512,1.690178
86,1.0480013,1.0562608,1.526445,0.56566954,1.0325801,1.7044908
87,1.0736287,1.0436531,1.537841,0.5785155,0.9984356,1.7159398
88,1.100561,1.0321499,1.546508,0.59278345,0.96508473,1.7243528
89,1.128666,1.0218457,1.552391,0.6084609,0.93267906,1.7295841
90,1.1577876,1.012829,1.5554637,0.6255281,0.90135396,1.7315166
91,1.1877435,1.0051832,1.5557288,0.6439564,0.8712281,1.7300655
92,1.2183259,0.99898565,1.5532184,0.663707,0.8424036,1.7251805
93,1.2493006,0.9943084,1.5479938,0.6847294,0.81496596,1.716848
94,1.2804085,0.99121755,1.5401443,0.7069602,0.7889851,1.7050928
95,1.3113675,0.9897737,1.5297871,0.7303221,0.76451576,1.6899776
96,1.3418742,0.99003124,1.5170641,0.7547229,0.74159896,1.6716044
97,1.3716087,0.99203855,1.5021412,0.78005475,0.720263,1.6501123
98,1.4002385,0.9958372,1.4852054,0.8061941,0.7005248,1.6256759
99,1.427424,1.0014619,1.4664621,0.8330018,0.68239135,1.598503
100,1.4528246,1.0089388,1.4461321,0.86032325,0.66586095,1.5688307
101,1.4761058,1.0182861,1.4244481,0.88798964,0.6509246,1.536921
102,1.496946,1.0295118,1.4016521,0.9158196,0.63756746,1.5030563
103,1.5150437,1.0426133,1.377991,0.9436204,0.6257696,1.4675337
104,1.5301249,1.0575755,1.3537138,0.971191,0.61550766,1.4306597
105,1.5419495,1.0743705,1.3290683,0.99832433,0.6067552,1.3927442
106,1.5503169,1.0929554,1.3042977,1.0248103,0.599484,1.3540953
107,1.5550717,1.113271,1.2796377,1.0504392,0.5936646,1.315014
108,1.5561064,1.1352415,1.2553147,1.0750054,0.58926666,1.2757891
109,1.5533653,1.158772,1.2315426,1.0983102,0.5862597,1.2366935
110,1.5468441,1.1837486,1.2085221,1.120166,0.5846133,1.1979806
111,1.5365907,1.2100375,1.1864388,1.1403987,0.58429706,1.1598818
112,1.522703,1.2374845,1.1654625,1.1588525,0.585281,1.1226043
113,1.5053262,1.2659154,1.145747,1.1753906,0.58753526,1.0863304
114,1.4846486,1.2951365,1.1274301,1.1898991,0.5910303,1.0512173
115,1.4608967,1.3249356,1.1106334,1.2022883,0.5957362,1.017397
116,1.4343297,1.3550835,1.0954634,1.2124939,0.601623,0.9849776
117,1.4052329,1.3853364,1.0820124,1.2204785,0.6086599,0.9540445
118,1.3739115,1.415438,1.070359,1.2262316,0.61681515,0.92466205
119,1.3406843,1.445123,1.0605692,1.2297685,0.62605566,0.8968756
120,1.305877,1.4741198,1.0526979,1.2311312,0.6363464,0.8707136
121,1.269816,1.5021548,1.0467898,1.2303852,0.6476503,0.8461896
122,1.2328237,1.5289558,1.0428802,1.2276193,0.65992755,0.82330483
123,1.1952122,1.5542561,1.0409962,1.2229426,0.67313546,0.8020497
124,1.1572802,1.577798,1.0411575,1.2164824,0.68722796,0.78240615
125,1.1193085,1.5993371,1.0433763,1.2083814,0.7021554,0.76434934
126,1.0815578,1.6186453,1.0476592,1.1987952,0.7178641,0.7478492
127,1.044266,1.6355146,1.054006,1.1878891,0.7342963,0.73287225
